Iterations;Energies;cond(Ai);cond(Ai-1 @ Ai)
10;509;552.9606363969931;1.4782559575443979
11;509;552.9596013236924;1.478503243284786
12;509;552.9589500106507;1.4786369254147185
13;509;552.9585537014261;1.4787089791412709
14;509;552.958360229218;1.4787471858564503
15;509;552.9582827035658;1.478767236237777
16;509;552.9582569731667;1.4787777336529146
17;509;552.958250645824;1.478783241306922
18;509;552.9582503718314;1.4787861419880486
19;509;552.9582514244006;1.478787675832615
20;509;552.9582524137489;1.478788489882841
21;509;552.9582530780765;1.4787889232610087
22;509;552.9582534669173;1.4787891545701615
23;509;552.9582536766679;1.4787892782798542
24;509;552.9582537836379;1.478789344550696
25;509;552.9582538353949;1.4787893800963514
26;509;552.9582538592298;1.4787893991806922
27;509;552.9582538695495;1.4787894094345329
28;509;552.9582538735684;1.4787894149467882
29;509;552.9582538749145;1.4787894179126417
30;509;552.9582538754197;1.4787894195079758
31;509;552.9582538752165;1.4787894203664294
1;510;555.0295749146565;1.2224845873983874
2;510;554.1831853260812;1.3491125187126276
3;510;553.7744689512389;1.4150618034509475
4;510;553.6056890541412;1.448850239576707
5;510;553.5213298217125;1.465430966276792
6;510;553.4894844998245;1.473659553110919
7;510;553.4652400949302;1.4776920691328845
8;510;553.4531934981992;1.4796459498310939
9;510;553.4477895108262;1.4805970384209997
10;510;553.4456243048726;1.4810724005481115
11;510;553.4446559319006;1.481321287118298
12;510;553.4440463312982;1.4814558256539003
13;510;553.443675708566;1.4815283525149372
14;510;553.4434966967856;1.4815668148160948
15;510;553.4434268098686;1.4815870000684253
16;510;553.4434049998803;1.4815975679716407
17;510;553.4434006682999;1.481603112454558
18;510;553.4434014124893;1.4816060324518376
19;510;553.4434029875725;1.481607576478465
20;510;553.4434042472724;1.4816083959200976
21;510;553.4434050522907;1.4816088321674006
22;510;553.4434055148636;1.4816090650073863
23;510;553.4434057637469;1.4816091895358512
24;510;553.4434058911007;1.481609256245395
25;510;553.4434059538955;1.4816092920265789
26;510;553.4434059836774;1.4816093112377704
27;510;553.4434059971098;1.48160932155981
28;510;553.4434060027988;1.4816093271081796
29;510;553.4434060051151;1.4816093300940862
30;510;553.443406006041;1.4816093317002692
31;510;553.4434060062575;1.4816093325646982
1;511;555.4836042545634;1.2236610604375473
2;511;554.641261673312;1.3510640841053505
3;511;554.2462210158243;1.4174519641876324
4;511;554.0866120643173;1.451464647164119
5;511;554.0075640100058;1.4681650118888312
6;511;553.9783273269182;1.476448660561176
7;511;553.9554933910083;1.4805102177834328
8;511;553.944118161858;1.4824783349089568
9;511;553.9390386752366;1.4834363032385571
10;511;553.9370296068304;1.4839149547519317
11;511;553.9361435236417;1.4841654740394508
12;511;553.935583856728;1.4843008931556687
13;511;553.9352431554829;1.4843739089304073
14;511;553.9350805005813;1.4844126360932444
15;511;553.9350189829607;1.484432961396597
